1,Ellis
2,Geary
3,Pacific
4,Pacific
5,Market
6,Indiana
7,11th
8,Revere
9,Fell
10,Alpine
11,Sanchez
12,Fell
13,25th
14,27th
15,Pine
16,Powell
17,Montgomery
18,21st
19,Bay
20,Corbett
21,Fulton
22,26th
23,Taylor
24,Filbert
25,Charlton
26,29th
27,17th
28,Shrader
29,06th
30,Powell
31,Taylor
32,18th
33,Capp
34,Lansing
35,15th
36,Eddy
37,Church
38,San Jose
39,30th
40,Pacific
41,Steiner
42,36th
43,04th
44,Jackson
45,Saint Charles
46,Webster
47,Divisadero
48,Cotter
49,Felton
50,15th
51,Fillmore
52,Geary
53,Hyde
54,03rd
55,Sutter
56,King
57,Mill
58,12th
59,03rd
60,Gough
61,Washington
62,Sacramento
63,19th
64,Cole
65,Mission
66,Hampshire
67,Wool
68,Jefferson
69,06th
70,16th
71,Leavenworth
72,Ofarrell
73,33rd
74,Francisco
75,Howard
76,Cole
77,Greenwich
78,California
79,Carolina
80,Mariposa
81,Clay
82,Jackson
83,Castro
84,Executive Park
85,Bay
86,Spruce
87,24th
88,Capra
89,Market
90,15th
91,Van Ness
92,Silver
93,Grace
94,Shrader
95,San Anselmo
96,07th
97,23rd
98,Geneva
99,Griffith
100,Brannan
101,Shrader
102,47th
103,Jones
104,Ellsworth
105,Cesar Chavez
106,Stratford
107,Haight
108,Meade
109,Kearny
110,Brannan
111,Montgomery
112,Townsend
113,Oak Park
114,25th
115,Valencia
116,New Montgomery
117,Gaven
118,Jackson
119,Jackson
120,Stockton
121,Hyde
122,30th
123,Valencia
124,Howard
125,Market
126,Florida
127,Steiner
128,Jones
129,24th
130,Sanchez
131,18th
132,Saint Elmo
133,Stevenson
134,Liberty
135,Gough
136,Powell
137,11th
138,Cesar Chavez
139,Church
140,Lurline
141,Oak Grove
142,Union
143,Mason
144,Mission Bay Blvd South
145,Clementina
146,Elizabeth
147,Hayes
148,Franklin
149,Laguna
150,Clay
151,Berry
152,23rd
153,Yerba Buena
154,Henry
155,Burnett
156,Bay
157,Valencia
158,Hayes
159,Page
160,Roanoke
161,Taylor
162,Folsom
